, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.65
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.65
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.65
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.62send offset to actuat, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.65
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.67send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.65
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.65
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.65
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.65
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.65
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.65
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.65
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.65
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.65
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.65
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.65
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.65
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.65
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.62send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.65
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.67send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.65
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.65
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.65
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.65
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.64
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.64
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.64
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.64
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.64
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.64
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.64
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.64
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.62send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.64
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.67send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.64
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.63
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.63
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.63
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.63
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.63
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.63
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.63
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.63
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.63
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.63
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.63
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.62send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.63
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.67send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.63
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.63
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.63
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.63
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.63
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.63
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.64
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.64
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.64
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.64
, temp_vel: 0.10, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.00, offset_x_cm for ac: -47.64
