--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at http://bit.ly/pio-monitor-filters
, count:18, delta_loop_time: 10, offset_y_cm from origin: 40.27, offset_x_cm for ac: -436.47
send offset to actuator, count:18, delta_loop_time: 10, offset_y_cm from origin: 41.27, offset_x_cm for ac: -435.69
send offset to actuator, count:18, delta_loop_time: 10, offset_y_cm from origin: 42.27, offset_x_cm for ac: -434.92
send offset to actuator, count:18, delta_loop_time: 10, offset_y_cm from origin: 43.27, offset_x_cm for ac: -434.16
send offset to actuator, count:18, delta_loop_time: 10, offset_y_cm from origin: 44.27, offset_x_cm for ac: -433.39
send offset to actuator, count:19, delta_loop_time: 11, offset_y_cm from origin: 31.89, offset_x_cm for ac: -432.66
send offset to actuator, count:19, delta_loop_time: 10, offset_y_cm from origin: 32.89, offset_x_cm for ac: -431.90
send offset to actuator, count:19, delta_loop_time: 10, offset_y_cm from origin: 33.89, offset_x_cm for ac: -431.14
send offset to actuator, count:19, delta_loop_time: 10, offset_y_cm from origin: 34.89, offset_x_cm for ac: -430.38
send offset to actuator, count:19, delta_loop_time: 10, offset_y_cm from origin: 35.89, offset_x_cm for ac: -429.62
send offset to actuator, count:19, delta_loop_time: 10, offset_y_cm from origin: 36.89, offset_x_cm for ac: -428.87
send offset to actuator, count:19, delta_loop_time: 10, offset_y_cm from origin: 37.89, offset_x_cm for ac: -428.11
send offset to actuator, count:19, delta_loop_time: 10, offset_y_cm from origin: 38.89, offset_x_cm for ac: -427.36
send offset to actuator, count:19, delta_loop_time: 10, offset_y_cm from origin: 39.89, offset_x_cm for ac: -426.61
send offset to actuator, count:19, delta_loop_time: 10, offset_y_cm from origin: 40.89, offset_x_cm for ac: -425.86
send offset to actuator, count:19, delta_loop_time: 10, offset_y_cm from origin: 41.89, offset_x_cm for ac: -425.11
send offset to actuator, count:19, delta_loop_time: 10, offset_y_cm from origin: 42.89, offset_x_cm for ac: -424.37
send offset to actuator, count:19, delta_loop_time: 10, offset_y_cm from origin: 43.89, offset_x_cm for ac: -423.62
send offset to actuator, count:19, delta_loop_time: 10, offset_y_cm from origin: 44.89, offset_x_cm for ac: -422.88
send offset to actuator, count:20, delta_loop_time: 11, offset_y_cm from origin: 31.72, offset_x_cm for ac: -422.19
send offset to actuator, count:20, delta_loop_time: 10, offset_y_cm from origin: 32.72, offset_x_cm for ac: -421.45
send offset to actuator, count:20, delta_loop_time: 10, offset_y_cm from origin: 33.72, offset_x_cm for ac: -420.71
send offset to actuator, count:20, delta_loop_time: 10, offset_y_cm from origin: 34.72, offset_x_cm for ac: -419.98
send offset to actuator, count:20, delta_loop_time: 10, offset_y_cm from origin: 35.72, offset_x_cm for ac: -419.24
send offset to actuator, count:20, delta_loop_time: 10, offset_y_cm from origin: 36.72, offset_x_cm for ac: -418.51
send offset to actuator, count:20, delta_loop_time: 10, offset_y_cm from origin: 37.72, offset_x_cm for ac: -417.78
send offset to actuator, count:20, delta_loop_time: 10, offset_y_cm from origin: 38.72, offset_x_cm for ac: -417.05
send offset to actuator, count:20, delta_loop_time: 10, offset_y_cm from origin: 39.72, offset_x_cm for ac: -416.32
send offset to actuator, count:20, delta_loop_time: 10, offset_y_cm from origin: 40.72, offset_x_cm for ac: -415.60
send offset to actuator, count:20, delta_loop_time: 10, offset_y_cm from origin: 41.72, offset_x_cm for ac: -414.87
send offset to actuator, count:20, delta_loop_time: 10, offset_y_cm from origin: 42.72, offset_x_cm for ac: -414.15
send offset to actuator, count:20, delta_loop_time: 10, offset_y_cm from origin: 43.72, offset_x_cm for ac: -413.43
send offset to actuator, count:20, delta_loop_time: 10, offset_y_cm from origin: 44.72, offset_x_cm for ac: -412.71
send offset to actuator, count:21, delta_loop_time: 11, offset_y_cm from origin: 32.69, offset_x_cm for ac: -412.04
send offset to actuator, count:21, delta_loop_time: 10, offset_y_cm from origin: 33.69, offset_x_cm for ac: -411.32
send offset to actuator, count:21, delta_loop_time: 10, offset_y_cm from origin: 34.69, offset_x_cm for ac: -410.61
send offset to actuator, count:21, delta_loop_time: 10, offset_y_cm from origin: 35.69, offset_x_cm for ac: -409.89
send offset to actuator, count:21, delta_loop_time: 10, offset_y_cm from origin: 36.69, offset_x_cm for ac: -409.18
send offset to actuator, count:21, delta_loop_time: 10, offset_y_cm from origin: 37.69, offset_x_cm for ac: -408.47
send offset to actuator, count:21, delta_loop_time: 10, offset_y_cm from origin: 38.69, offset_x_cm for ac: -407.77
send offset to actuator, count:21, delta_loop_time: 10, offset_y_cm from origin: 39.69, offset_x_cm for ac: -407.06
send offset to actuator, count:21, delta_loop_time: 10, offset_y_cm from origin: 40.69, offset_x_cm for ac: -406.36
send offset to actuator, count:21, delta_loop_time: 10, offset_y_cm from origin: 41.69, offset_x_cm for ac: -405.65
send offset to actuator, count:21, delta_loop_time: 10, offset_y_cm from origin: 42.69, offset_x_cm for ac: -404.95
send offset to actuator, count:21, delta_loop_time: 10, offset_y_cm from origin: 43.69, offset_x_cm for ac: -404.25
send offset to actuator, count:21, delta_loop_time: 10, offset_y_cm from origin: 44.69, offset_x_cm for ac: -403.55
send offset to actuator, count:21, delta_loop_time: 10, offset_y_cm from origin: 45.69, offset_x_cm for ac: -402.86
send offset to actuator, count:22, delta_loop_time: 11, offset_y_cm from origin: 32.66, offset_x_cm for ac: -402.21
send offset to actuator, count:22, delta_loop_time: 10, offset_y_cm from origin: 33.66, offset_x_cm for ac: -401.52
send offset to actuator, count:22, delta_loop_time: 10, offset_y_cm from origin: 34.66, offset_x_cm for ac: -400.82
send offset to actuator, count:22, delta_loop_time: 10, offset_y_cm from origin: 35.66, offset_x_cm for ac: -400.12
send offset to actuator, count:22, delta_loop_time: 10, offset_y_cm from origin: 36.66, offset_x_cm for ac: -399.43
send offset to actuator, count:22, delta_loop_time: 10, offset_y_cm from origin: 37.66, offset_x_cm for ac: -398.74
send offset to actuator, count:22, delta_loop_time: 10, offset_y_cm from origin: 38.66, offset_x_cm for ac: -398.05
send offset to actuator, count:22, delta_loop_time: 10, offset_y_cm from origin: 39.66, offset_x_cm for ac: -397.36
send offset to actuator, count:22, delta_loop_time: 10, offset_y_cm from origin: 40.66, offset_x_cm for ac: -396.67
send offset to actuator, count:22, delta_loop_time: 10, offset_y_cm from origin: 41.66, offset_x_cm for ac: -395.98
send offset to actuator, count:22, delta_loop_time: 10, offset_y_cm from origin: 42.66, offset_x_cm for ac: -395.30
send offset to actuator, count:22, delta_loop_time: 10, offset_y_cm from origin: 43.66, offset_x_cm for ac: -394.61
send offset to actuator, count:22, delta_loop_time: 10, offset_y_cm from origin: 44.66, offset_x_cm for ac: -393.93
send offset to actuator, count:22, delta_loop_time: 10, offset_y_cm from origin: 45.66, offset_x_cm for ac: -393.25
send offset to actuator, count:23, delta_loop_time: 11, offset_y_cm from origin: 34.25, offset_x_cm for ac: -392.61
send offset to actuator, count:23, delta_loop_time: 10, offset_y_cm from origin: 35.25, offset_x_cm for ac: -391.92
send offset to actuator, count:23, delta_loop_time: 10, offset_y_cm from origin: 36.25, offset_x_cm for ac: -391.24
send offset to actuator, count:23, delta_loop_time: 10, offset_y_cm from origin: 37.25, offset_x_cm for ac: -390.56
send offset to actuator, count:23, delta_loop_time: 10, offset_y_cm from origin: 38.25, offset_x_cm for ac: -389.87
send offset to actuator, count:23, delta_loop_time: 10, offset_y_cm from origin: 39.25, offset_x_cm for ac: -389.19
send offset to actuator, count:23, delta_loop_time: 10, offset_y_cm from origin: 40.25, offset_x_cm for ac: -388.51
send offset to actuator, count:23, delta_loop_time: 10, offset_y_cm from origin: 41.25, offset_x_cm for ac: -387.84
send offset to actuator, count:23, delta_loop_time: 10, offset_y_cm from origin: 42.25, offset_x_cm for ac: -387.16
send offset to actuator, count:23, delta_loop_time: 10, offset_y_cm from origin: 43.25, offset_x_cm for ac: -386.49
send offset to actuator, count:23, delta_loop_time: 10, offset_y_cm from origin: 44.25, offset_x_cm for ac: -385.81
send offset to actuator, count:23, delta_loop_time: 10, offset_y_cm from origin: 45.25, offset_x_cm for ac: -385.14
send offset to actuator, count:23, delta_loop_time: 10, offset_y_cm from origin: 46.25, offset_x_cm for ac: -384.47
send offset to actuator, count:23, delta_loop_time: 10, offset_y_cm from origin: 47.25, offset_x_cm for ac: -383.80
send offset to actuator, count:24, delta_loop_time: 12, offset_y_cm from origin: 35.24, offset_x_cm for ac: -383.13
send offset to actuator, count:24, delta_loop_time: 10, offset_y_cm from origin: 36.24, offset_x_cm for ac: -382.46
send offset to actuator, count:24, delta_loop_time: 10, offset_y_cm from origin: 37.24, offset_x_cm for ac: -381.80
send offset to actuator, count:24, delta_loop_time: 10, offset_y_cm from origin: 38.24, offset_x_cm for ac: -381.13
send offset to actuator, count:24, delta_loop_time: 10, offset_y_cm from origin: 39.24, offset_x_cm for ac: -380.47
send offset to actuator, count:24, delta_loop_time: 10, offset_y_cm from origin: 40.24, offset_x_cm for ac: -379.81
send offset to actuator, count:24, delta_loop_time: 10, offset_y_cm from origin: 41.24, offset_x_cm for ac: -379.15
send offset to actuator, count:24, delta_loop_time: 10, offset_y_cm from origin: 42.24, offset_x_cm for ac: -378.49
send offset to actuator, count:24, delta_loop_time: 10, offset_y_cm from origin: 43.24, offset_x_cm for ac: -377.84
send offset to actuator, count:24, delta_loop_time: 10, offset_y_cm from origin: 44.24, offset_x_cm for ac: -377.18
send offset to actuator, count:24, delta_loop_time: 10, offset_y_cm from origin: 45.24, offset_x_cm for ac: -376.53
send offset to actuator, count:24, delta_loop_time: 10, offset_y_cm from origin: 46.24, offset_x_cm for ac: -375.88
send offset to actuator, count:24, delta_loop_time: 10, offset_y_cm from origin: 47.24, offset_x_cm for ac: -375.23
send offset to actuator, count:24, delta_loop_time: 10, offset_y_cm from origin: 48.24, offset_x_cm for ac: -374.58
send offset to actuator, count:25, delta_loop_time: 11, offset_y_cm from origin: 36.45, offset_x_cm for ac: -373.99
send offset to actuator, count:25, delta_loop_time: 10, offset_y_cm from origin: 37.45, offset_x_cm for ac: -373.34
send offset to actuator, count:25, delta_loop_time: 10, offset_y_cm from origin: 38.45, offset_x_cm for ac: -372.70
send offset to actuator, count:25, delta_loop_time: 10, offset_y_cm from origin: 39.45, offset_x_cm for ac: -372.05
send offset to actuator, count:25, delta_loop_time: 10, offset_y_cm from origin: 40.45, offset_x_cm for ac: -371.41
send offset to actuator, count:25, delta_loop_time: 10, offset_y_cm from origin: 41.45, offset_x_cm for ac: -370.77
send offset to actuator, count:25, delta_loop_time: 10, offset_y_cm from origin: 42.45, offset_x_cm for ac: -370.13
send offset to actuator, count:25, delta_loop_time: 10, offset_y_cm from origin: 43.45, offset_x_cm for ac: -369.50
send offset to actuator, count:25, delta_loop_time: 10, offset_y_cm from origin: 44.45, offset_x_cm for ac: -368.86
send offset to actuator, count:25, delta_loop_time: 10, offset_y_cm from origin: 45.45, offset_x_cm for ac: -368.22
send offset to actuator, count:25, delta_loop_time: 10, offset_y_cm from origin: 46.45, offset_x_cm for ac: -367.59
send offset to actuator, count:25, delta_loop_time: 10, offset_y_cm from origin: 47.45, offset_x_cm for ac: -366.96
send offset to actuator, count:25, delta_loop_time: 10, offset_y_cm from origin: 48.45, offset_x_cm for ac: -366.33
send offset to actuator, count:25, delta_loop_time: 10, offset_y_cm from origin: 49.45, offset_x_cm for ac: -365.70
send offset to actuator, count:26, delta_loop_time: 11, offset_y_cm from origin: 37.46, offset_x_cm for ac: -365.12
send offset to actuator, count:26, delta_loop_time: 10, offset_y_cm from origin: 38.46, offset_x_cm for ac: -364.49
send offset to actuator, count:26, delta_loop_time: 10, offset_y_cm from origin: 39.46, offset_x_cm for ac: -363.86
send offset to actuator, count:26, delta_loop_time: 10, offset_y_cm from origin: 40.46, offset_x_cm for ac: -363.23
send offset to actuator, count:26, delta_loop_time: 10, offset_y_cm from origin: 41.46, offset_x_cm for ac: -362.60
send offset to actuator, count:26, delta_loop_time: 10, offset_y_cm from origin: 42.46, offset_x_cm for ac: -361.97
send offset to actuator, count:26, delta_loop_time: 10, offset_y_cm from origin: 43.46, offset_x_cm for ac: -361.34
send offset to actuator, count:26, delta_loop_time: 10, offset_y_cm from origin: 44.46, offset_x_cm for ac: -360.72
send offset to actuator, count:26, delta_loop_time: 10, offset_y_cm from origin: 45.46, offset_x_cm for ac: -360.09
send offset to actuator, count:26, delta_loop_time: 10, offset_y_cm from origin: 46.46, offset_x_cm for ac: -359.47
send offset to actuator, count:26, delta_loop_time: 10, offset_y_cm from origin: 47.46, offset_x_cm for ac: -358.85
send offset to actuator, count:26, delta_loop_time: 10, offset_y_cm from origin: 48.46, offset_x_cm for ac: -358.23
send offset to actuator, count:26, delta_loop_time: 10, offset_y_cm from origin: 49.46, offset_x_cm for ac: -357.61
send offset to actuator, count:26, delta_loop_time: 10, offset_y_cm from origin: 50.46, offset_x_cm for ac: -356.99
send offset to actuator, count:26, delta_loop_time: 10, offset_y_cm from origin: 51.46, offset_x_cm for ac: -356.38
send offset to actuator, count:27, delta_loop_time: 11, offset_y_cm from origin: 38.48, offset_x_cm for ac: -355.84
send offset to actuator, count:27, delta_loop_time: 10, offset_y_cm from origin: 39.48, offset_x_cm for ac: -355.23
send offset to actuator, count:27, delta_loop_time: 10, offset_y_cm from origin: 40.48, offset_x_cm for ac: -354.63
send offset to actuator, count:27, delta_loop_time: 10, offset_y_cm from origin: 41.48, offset_x_cm for ac: -354.02
send offset to actuator, count:27, delta_loop_time: 10, offset_y_cm from origin: 42.48, offset_x_cm for ac: -353.42
send offset to actuator, count:27, delta_loop_time: 10, offset_y_cm from origin: 43.48, offset_x_cm for ac: -352.82
send offset to actuator, count:27, delta_loop_time: 10, offset_y_cm from origin: 44.48, offset_x_cm for ac: -352.22
send offset to actuator, count:27, delta_loop_time: 10, offset_y_cm from origin: 45.48, offset_x_cm for ac: -351.62
send offset to actuator, count:27, delta_loop_time: 10, offset_y_cm from origin: 46.48, offset_x_cm for ac: -351.02
send offset to actuator, count:27, delta_loop_time: 10, offset_y_cm from origin: 47.48, offset_x_cm for ac: -350.43
send offset to actuator, count:27, delta_loop_time: 10, offset_y_cm from origin: 48.48, offset_x_cm for ac: -349.83
send offset to actuator, count:27, delta_loop_time: 10, offset_y_cm from origin: 49.48, offset_x_cm for ac: -349.24
send offset to actuator, count:27, delta_loop_time: 10, offset_y_cm from origin: 50.48, offset_x_cm for ac: -348.65
send offset to actuator, count:27, delta_loop_time: 10, offset_y_cm from origin: 51.48, offset_x_cm for ac: -348.05
send offset to actuator, count:28, delta_loop_time: 11, offset_y_cm from origin: 39.51, offset_x_cm for ac: -347.53
send offset to actuator, count:28, delta_loop_time: 10, offset_y_cm from origin: 40.51, offset_x_cm for ac: -346.95
send offset to actuator, count:28, delta_loop_time: 10, offset_y_cm from origin: 41.51, offset_x_cm for ac: -346.36
send offset to actuator, count:28, delta_loop_time: 10, offset_y_cm from origin: 42.51, offset_x_cm for ac: -345.78
send offset to actuator, count:28, delta_loop_time: 10, offset_y_cm from origin: 43.51, offset_x_cm for ac: -345.19
send offset to actuator, count:28, delta_loop_time: 10, offset_y_cm from origin: 44.51, offset_x_cm for ac: -344.61
send offset to actuator, count:28, delta_loop_time: 10, offset_y_cm from origin: 45.51, offset_x_cm for ac: -344.03
send offset to actuator, count:28, delta_loop_time: 10, offset_y_cm from origin: 46.51, offset_x_cm for ac: -343.45
send offset to actuator, count:28, delta_loop_time: 10, offset_y_cm from origin: 47.51, offset_x_cm for ac: -342.88
send offset to actuator, count:28, delta_loop_time: 10, offset_y_cm from origin: 48.51, offset_x_cm for ac: -342.30
send offset to actuator, count:28, delta_loop_time: 10, offset_y_cm from origin: 49.51, offset_x_cm for ac: -341.72
send offset to actuator, count:28, delta_loop_time: 10, offset_y_cm from origin: 50.51, offset_x_cm for ac: -341.15
send offset to actuator, count:28, delta_loop_time: 10, offset_y_cm from origin: 51.51, offset_x_cm for ac: -340.58
send offset to actuator, count:28, delta_loop_time: 10, offset_y_cm from origin: 52.51, offset_x_cm for ac: -340.01
send offset to actuator, count:28, delta_loop_time: 10, offset_y_cm from origin: 53.51, offset_x_cm for ac: -339.44
send offset to actuator, count:29, delta_loop_time: 11, offset_y_cm from origin: 40.06, offset_x_cm for ac: -338.95
send offset to actuator, count:29, delta_loop_time: 10, offset_y_cm from origin: 41.06, offset_x_cm for ac: -338.38
send offset to actuator, count:29, delta_loop_time: 10, offset_y_cm from origin: 42.06, offset_x_cm for ac: -337.81
send offset to actuator, count:29, delta_loop_time: 10, offset_y_cm from origin: 43.06, offset_x_cm for ac: -337.24
send offset to actuator, count:29, delta_loop_time: 10, offset_y_cm from origin: 44.06, offset_x_cm for ac: -336.67
send offset to actuator, count:29, delta_loop_time: 10, offset_y_cm from origin: 45.06, offset_x_cm for ac: -336.11
send offset to actuator, count:29, delta_loop_time: 10, offset_y_cm from origin: 46.06, offset_x_cm for ac: -335.55
send offset to actuator, count:29, delta_loop_time: 10, offset_y_cm from origin: 47.06, offset_x_cm for ac: -334.98
