--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at http://bit.ly/pio-monitor-filters
␀40.33, offset_x_cm for ac: -40.32
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -40.50, current_time_ms: 72632, curr_params.time_get_image: 1273, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.33, offset_x_cm for ac: -40.33
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -40.50, current_time_ms: 72643, curr_params.time_get_image: 1273, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.33, offset_x_cm for ac: -40.33
send offset to actuator, currr, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 108709, curr_params.time_get_image: 37384, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.69, offset_x_cm for ac: -39.69
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 108720, curr_params.time_get_image: 37384, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.69, offset_x_cm for ac: -39.69
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 108731, curr_params.time_get_image: 37384, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.69, offset_x_cm for ac: -39.69
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 108742, curr_params.time_get_image: 37384, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.69, offset_x_cm for ac: -39.69
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 108753, curr_params.time_get_image: 37384, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.69, offset_x_cm for ac: -39.69
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 108764, curr_params.time_get_image: 37384, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.69, offset_x_cm for ac: -39.69
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 108775, curr_params.time_get_image: 37384, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.69, offset_x_cm for ac: -39.69
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 108786, curr_params.time_get_image: 37384, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.69, offset_x_cm for ac: -39.69
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 108797, curr_params.time_get_image: 37384, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -39.69, offset_x_cm for ac: -39.69
