--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at http://bit.ly/pio-monitor-filters
␀rigin: 0.00, hokan nasi offset_x_cm for ac: -46.40, offset_x_cm for ac: -46.38
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -50.79, current_time_ms: 126645, curr_params.time_get_image: 55329, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -46.46, offset_x_cm for ac: -46.43
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -50.79, current_time_ms: 126656, curr_params.time_get_image: 55329, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -46.51, offset_xr, curr_params.slope: -0.00, curr_params.bias: -23.83, current_time_ms: 153519, curr_params.time_get_image: 16634, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -28.50, offset_x_cm for ac: -28.53
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -23.83, current_time_ms: 153530, curr_params.time_get_image: 16634, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -28.44, offset_x_cm for ac: -28.47
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -23.83, current_time_ms: 153541, curr_params.time_get_image: 16634, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -28.39, offset_x_cm for ac: -28.41
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -23.83, current_time_ms: 153552, curr_params.time_get_image: 16634, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -28.33, offset_x_cm for ac: -28.36
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -23.83, current_time_ms: 153563, curr_params.time_get_image: 16634, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -28.27, offset_x_cm for ac: -28.30
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -23.83, current_time_ms: 153574, curr_params.time_get_image: 16634, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -28.22, offset_x_cm for ac: -28.25
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -23.83, current_time_ms: 153585, curr_params.time_get_image: 16634, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -28.16, offset_x_cm for ac: -28.19
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -23.83, current_time_ms: 153596, curr_params.time_get_image: 16634, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -28.11, offset_x_cm for ac: -28.14
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -23.83, current_time_ms: 153607, curr_params.time_get_image: 16634, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -28.06, offset_x_cm for ac: -28.08
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -24.63, current_time_ms: 153619, curr_params.time_get_image: 16898, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -28.02, offset_x_cm for ac: -28.04
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -24.63, current_time_ms: 153630, curr_params.time_get_image: 16898, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -27.97, offset_x_cm for ac: -27.99
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -24.63, current_time_ms: 153641, curr_params.time_get_image: 16898, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -27.93, offset_x_cm for ac: -27.95
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -24.63, current_time_ms: 153652, curr_params.time_get_image: 16898, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -27.89, offset_x_cm for ac: -27.91
