send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -62.84, current_time_ms: 561068, curr_params.time_get_image: 30925, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -63.49, offset_x_cm for ac: -63.49
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -62.84, current_time_ms: 561079, curr_params.time_get_image: 30925, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -63.48, offset_x_cm for ac: -63.49
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -62.84, current_time_ms: 561090, curr_params.time_get_image: 30925, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -63.47, offset_x_cm for ac: -63.48
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -62.84, current_time_ms: 561101, curr_params.time_get_image: 30925, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -63.47, offset_x_cm for ac: -63.47
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 561113, curr_params.time_get_image: 31168, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -63.47, offset_x_cm for ac: -63.47
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 561124, curr_params.time_get_image: 31168, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -63.48, offset_x_cm for ac: -63.47
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 561135, curr_params.time_get_image: 31168, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -63.48, offset_x_cm for ac: -63.48
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 561146, curr_params.time_get_image: 31168, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -63.49, offset_x_cm for ac: -63.49
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 561157, curr_params.time_get_image: 31168, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -63.49, offset_x_cm for ac: -63.49
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 561168, curr_params.time_get_image: 31168, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -63.50, offset_x_cm for ac: -63.50
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 561179, curr_params.time_get_image: 31168, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -63.50, offset_x_cm for ac: -63.50
