--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at http://bit.ly/pio-monitor-filters
␀.64
send offset to actuator, curr_params.slope: -0.01, curr_params.bias: -61.09, current_time_ms: 581536, curr_params.time_get_image: 51579, offset_y_cm from origin: 46.85, hokan nasi offset_x_cm for ac: -60.53, offset_x_cm for ac: -60.67
send offset to actuator, curr_params.slope: -0.01, curr_params.bias: -61.09, current_time_ms: 581547, curr_params.time_get_image: 51579, offset_y_cm from origin: 43.85, hokan nasi offset_x_cm for ac: -60.53, offset_x_cm for ac: -60.70
send offset to actuator, curr_params.slope: -0.01, r, curr_params.slope: 0.01, curr_params.bias: -25.76, current_time_ms: 615953, curr_params.time_get_image: 20330, offset_y_cm from origin: 2.20, hokan nasi offset_x_cm for ac: -26.30, offset_x_cm for ac: -26.28
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.76, current_time_ms: 615964, curr_params.time_get_image: 20330, offset_y_cm from origin: 2.20, hokan nasi offset_x_cm for ac: -26.28, offset_x_cm for ac: -26.26
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.76, current_time_ms: 615975, curr_params.time_get_image: 20330, offset_y_cm from origin: 1.20, hokan nasi offset_x_cm for ac: -26.26, offset_x_cm for ac: -26.22
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.76, current_time_ms: 615986, curr_params.time_get_image: 20330, offset_y_cm from origin: 1.20, hokan nasi offset_x_cm for ac: -26.24, offset_x_cm for ac: -26.20
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.76, current_time_ms: 615997, curr_params.time_get_image: 20330, offset_y_cm from origin: 1.20, hokan nasi offset_x_cm for ac: -26.22, offset_x_cm for ac: -26.18
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.76, current_time_ms: 616008, curr_params.time_get_image: 20330, offset_y_cm from origin: 0.20, hokan nasi offset_x_cm for ac: -26.20, offset_x_cm for ac: -26.15
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.76, current_time_ms: 616019, curr_params.time_get_image: 20330, offset_y_cm from origin: 0.20, hokan nasi offset_x_cm for ac: -26.19, offset_x_cm for ac: -26.13
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.76, current_time_ms: 616030, curr_params.time_get_image: 20330, offset_y_cm from origin: 0.20, hokan nasi offset_x_cm for ac: -26.17, offset_x_cm for ac: -26.12
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -25.76, current_time_ms: 616041, curr_params.time_get_image: 20330, offset_y_cm from origin: -0.80, hokan nasi offset_x_cm for ac: -26.15, offset_x_cm for ac: -26.09
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -28.44, current_time_ms: 616053, curr_params.time_get_image: 20571, offset_y_cm from origin: 8.04, hokan nasi offset_x_cm for ac: -26.30, offset_x_cm for ac: -26.25
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -28.44, current_time_ms: 616064, curr_params.time_get_image: 20571, offset_y_cm from origin: 8.04, hokan nasi offset_x_cm for ac: -26.42, offset_x_cm for ac: -26.36
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -28.44, current_time_ms: 616075, curr_params.time_get_image: 20571, offset_y_cm from origin: 8.04, hokan nasi offset_x_cm for ac: -26.53, offset_x_cm for ac: -26.48
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -28.44, current_time_ms: 616086, curr_params.time_get_image: 20571, offset_y_cm from origin: 7.04, hokan nasi offset_x_cm for ac: -26.63, offset_x_cm for ac: -26.57
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -28.44, current_time_ms: 616097, curr_params.time_get_image: 20571, offset_y_cm from origin: 7.04, hokan nasi offset_x_cm for ac: -26.73, offset_x_cm for ac: -26.67
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -28.44, current_time_ms: 616108, curr_params.time_get_image: 20571, offset_y_cm from origin: 7.04, hokan nasi offset_x_cm for ac: -26.82, offset_x_cm for ac: -26.76
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -28.44, current_time_ms: 616119, curr_params.time_get_image: 20571, offset_y_cm from origin: 6.04, hokan nasi offset_x_cm for ac: -26.91, offset_x_cm for ac: -26.84
