--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at http://bit.ly/pio-monitor-filters
_m for ac: -27.55, offset_x_cm for ac: -27.55
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -27.55, current_time_ms: 183482, curr_params.time_get_image: 38273, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -27.55, offset_x_cm for ac: -27.55
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -27.55, current_time_ms: 183493, curr_params.time_get_image: 38273, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -27.55, offset_x_cm for ac: -27.55
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -27.55, current_time_ms: 183504, curr_params.time_get_image: 38273, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -27.55, offset_x_cm for ac: -27.55
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -27.55, current_time_ms: 183515, curr_params.time_get_image: 38273, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -27.55, offset_x_cm for ac: -27.55
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -27.55, current_time_ms: 183526, curr_params.time_get_image: 38273, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -27.55, offset_x_cm for ac: -27.55
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -27.55, current_time_ms: 183537, curr_params.time_get_image: 38273, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -27.55, offset_x_cm for ac: -27.55
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -27.55, current_time_ms: 183548, curr_params.time_get_image: 38273, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -27.55, offset_x_cm for ac: -27.55
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.06, current_time_ms: 183560, curr_params.time_get_image: 38509, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -28.06, offset_x_cm for ac: -28.06
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.06, current_time_ms: 183571, curr_params.time_get_image: 38509, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -28.06, offset_x_cm for ac: -28.06
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.06, current_time_ms: 183582, curr_params.time_get_image: 38509, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -28.06, offset_x_cm for ac: -28.06
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.06, current_time_ms: 183593, curr_params.time_get_image: 38509, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -28.06, offset_x_cm for ac: -28.06
