send offset to actuator, curr_params.slope: -0.01, curr_params.bias: -35.64, current_time_ms: 35273, curr_params.time_get_image: 15552, offset_y_cm from origin: 61.83, hokan nasi offset_x_cm for ac: -35.13, offset_x_cm for ac: -34.99
send offset to actuator, curr_params.slope: -0.01, curr_params.bias: -35.64, current_time_ms: 35284, curr_params.time_get_image: 15552, offset_y_cm from origin: 63.83, hokan nasi offset_x_cm for ac: -35.13, offset_x_cm for ac: -34.97
send offset to actuator, curr_params.slope: -0.01, curr_params.bias: -35.64, current_time_ms: 35295, curr_params.time_get_image: 15552, offset_y_cm from origin: 65.82, hokan nasi offset_x_cm for ac: -35.13, offset_x_cm for ac: -34.95
send offset to actuator, curr_params.slope: -0.01, curr_params.bias: -35.64, current_time_ms: 35306, curr_params.time_get_image: 15552, offset_y_cm from origin: 67.82, hokan nasi offset_x_cm for ac: -35.13, offset_x_cm for ac: -34.93
send offset to actuator, curr_params.slope: -0.01, curr_params.bias: -35.64, current_time_ms: 35317, curr_params.time_get_image: 15552, offset_y_cm from origin: 69.82, hokan nasi offset_x_cm for ac: -35.13, offset_x_cm for ac: -34.91
send offset to actuator, curr_params.slope: -0.01, curr_params.bias: -35.64, current_time_ms: 35328, curr_params.time_get_image: 15552, offset_y_cm from origin: 70.82, hokan nasi offset_x_cm for ac: -35.13, offset_x_cm for ac: -34.90
send offset to actuator, curr_params.slope: -0.01, curr_params.bias: -35.64, current_time_ms: 35339, curr_params.time_get_image: 15552, offset_y_cm from origin: 72.82, hokan nasi offset_x_cm for ac: -35.13, offset_x_cm for ac: -34.87
send offset to actuator, curr_params.slope: -0.01, curr_params.bias: -35.64, current_time_ms: 35350, curr_params.time_get_image: 15552, offset_y_cm from origin: 74.82, hokan nasi offset_x_cm for ac: -35.13, offset_x_cm for ac: -34.85
send offset to actuator, curr_params.slope: -0.01, curr_params.bias: -35.64, current_time_ms: 35361, curr_params.time_get_image: 15552, offset_y_cm from origin: 76.82, hokan nasi offset_x_cm for ac: -35.13, offset_x_cm for ac: -34.83
send offset to actuator, curr_params.slope: -0.01, curr_params.bias: -35.64, current_time_ms: 35372, curr_params.time_get_image: 15552, offset_y_cm from origin: 78.82, hokan nasi offset_x_cm for ac: -35.13, offset_x_cm for ac: -34.81
send offset to actuator, curr_params.slope: -0.01, curr_params.bias: -35.64, current_time_ms: 35383, curr_params.time_get_image: 15552, offset_y_cm from origin: 80.82, hokan nasi offset_x_cm for ac: -35.13, offset_x_cm for ac: -34.79
send offset to actuator, curr_params.slope: -0.01, curr_params.bias: -35.64, current_time_ms: 35394, curr_params.time_get_image: 15552, offset_y_cm from origin: 82.82, hokan nasi offset_x_cm for ac: -35.13, offset_x_cm for ac: -34.77
send offset to actuator, curr_params.slope: -0.01, curr_params.bias: -35.64, current_time_ms: 35405, curr_params.time_get_image: 15552, offset_y_cm from origin: 83.82, hokan nasi offset_x_cm for ac: -35.13, offset_x_cm for ac: -34.76
send offset to actuator, curr_params.slope: -0.01, curr_params.bias: -35.64, current_time_ms: 35416, curr_params.time_get_image: 15552, offset_y_cm from origin: 85.82, hokan nasi offset_x_cm for ac: -35.13, offset_x_cm for ac: -34.74
send offset to actuator, curr_params.slope: -0.01, curr_params.bias: -35.64, current_time_ms: 35427, curr_params.time_get_image: 15552, offset_y_cm from origin: 87.82, hokan nasi offset_x_cm for ac: -35.13, offset_x_cm for ac: -34.72
send offset to actuator, curr_params.slope: -0.01, curr_params.bias: -34.67, current_time_ms: 35439, curr_params.time_get_image: 15811, offset_y_cm from origin: 43.23, hokan nasi offset_x_cm for ac: -34.44, offset_x_cm for ac: -34.44
send offset to actuator, curr_params.slope: -0.01, curr_params.bias: -34.67, current_time_ms: 35450, curr_params.time_get_image: 15811, offset_y_cm from origin: 44.23, hokan nasi offset_x_cm for ac: -34.44, offset_x_cm for ac: -34.43
send offset to actuator, curr_params.slope: -0.01, curr_params.bias: -34.67, current_time_ms: 35461, curr_params.time_get_image: 15811, offset_y_cm from origin: 46.23, hokan nasi offset_x_cm for ac: -34.44, offset_x_cm for ac: -34.42
send offset to actuator, curr_params.slope: -0.01, curr_params.bias: -34.67, current_time_ms: 35472, curr_params.time_get_image: 15811, offset_y_cm from origin: 48.23, hokan nasi offset_x_cm for ac: -34.44, offset_x_cm for ac: -34.41
send offset to actuator, curr_params.slope: -0.01, curr_params.bias: -34.67, current_time_ms: 35483, curr_params.time_get_image: 15811, offset_y_cm from origin: 50.23, hokan nasi offset_x_cm for ac: -34.44, offset_x_cm for ac: -34.40
send offset to actuator, curr_params.slope: -0.01, curr_params.bias: -34.67, current_time_ms: 35494, curr_params.time_get_image: 15811, offset_y_cm from origin: 51.23, hokan nasi offset_x_cm for ac: -34.44, offset_x_cm for ac: -34.39
send offset to actuator, curr_params.slope: -0.01, curr_params.bias: -34.67, current_time_ms: 35505, curr_params.time_get_image: 15811, offset_y_cm from origin: 53.23, hokan nasi offset_x_cm for ac: -34.44, offset_x_cm for ac: -34.38
