--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at http://bit.ly/pio-monitor-filters
␀381.00, hokan nasi offset_x_cm for ac: 0.00, offset_x_cm for ac: 0.00, filterd_offset_x_cm: 0.00
send offset to actuator, curr_params.slope: 0.00, curr_params.bias: 0.00, current_time_ms: 16538, curr_params.time_get_image: 0, offset_y_cm from origin: -1381.00, hokan nasi offset_x_cm for ac: 0.00, offset_x_cm for ac: 0.00, filterd_offset_x_cm: 0.00
send offset to actuator, curr_params.slope: 0.00, curr_params.bias: 0.00, current_time_ms: 16550, curr_params.time_get_image: 0, offset_y_cm from origin: -1381.00, hokan nasi o9, curr_params.time_get_image: 14647, offset_y_cm from origin: 36.83, hokan nasi offset_x_cm for ac: -40.10, offset_x_cm for ac: -40.77, filterd_offset_x_cm: -40.69
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -38.31, current_time_ms: 31431, curr_params.time_get_image: 14878, offset_y_cm from origin: 20.64, hokan nasi offset_x_cm for ac: -40.04, offset_x_cm for ac: -40.10, filterd_offset_x_cm: -40.52
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -38.31, current_time_ms: 31443, curr_params.time_get_image: 14878, offset_y_cm from origin: 20.64, hokan nasi offset_x_cm for ac: -39.93, offset_x_cm for ac: -39.98, filterd_offset_x_cm: -40.38
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -38.31, current_time_ms: 31455, curr_params.time_get_image: 14878, offset_y_cm from origin: 22.64, hokan nasi offset_x_cm for ac: -39.83, offset_x_cm for ac: -39.96, filterd_offset_x_cm: -40.27
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -38.31, current_time_ms: 31467, curr_params.time_get_image: 14878, offset_y_cm from origin: 23.64, hokan nasi offset_x_cm for ac: -39.75, offset_x_cm for ac: -39.90, filterd_offset_x_cm: -40.17
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -38.31, current_time_ms: 31479, curr_params.time_get_image: 14878, offset_y_cm from origin: 24.64, hokan nasi offset_x_cm for ac: -39.67, offset_x_cm for ac: -39.85, filterd_offset_x_cm: -40.08
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -38.31, current_time_ms: 31491, curr_params.time_get_image: 14878, offset_y_cm from origin: 25.64, hokan nasi offset_x_cm for ac: -39.59, offset_x_cm for ac: -39.82, filterd_offset_x_cm: -40.01
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -38.31, current_time_ms: 31503, curr_params.time_get_image: 14878, offset_y_cm from origin: 26.64, hokan nasi offset_x_cm for ac: -39.53, offset_x_cm for ac: -39.79, filterd_offset_x_cm: -39.95
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -38.31, current_time_ms: 31515, curr_params.time_get_image: 14878, offset_y_cm from origin: 27.64, hokan nasi offset_x_cm for ac: -39.48, offset_x_cm for ac: -39.77, filterd_offset_x_cm: -39.90
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -38.31, current_time_ms: 31527, curr_params.time_get_image: 14878, offset_y_cm from origin: 28.64, hokan nasi offset_x_cm for ac: -39.43, offset_x_cm for ac: -39.75, filterd_offset_x_cm: -39.86
